"LP";"Numer kodowy ";"Nazwa produktu";"odpadki";"wartość energetyczna";;"woda";"białko ogółem";"białko zwierzęce";"białko roślinne";"tłuszcz";"węglowodany ogółem";"popiół";"składniki mineralne";;;;;;;;;"witaminy";;;;;;;;;;;;"kwasy tłuszczowe nasycone";;;;;;;;;;;;"kwasy tłuszczowe jednonienasycone";;;;;;;;"kwasy tłuszczowe wielonienasycone";;;;;;;;;"cholesterol";"aminokwasy";;;;;;;;;;;;;;;;;;"węglowodany";;;;"% energii z:";;
;;;;;;;;;;;;;"sód";"potas";"wapń";"fosfor";"magnez";"żelazo";"cynk";"miedź";"mangan";"ek.retinolu";"retinol";"beta-karoten";"D";"E";"tiamina";"ryboflawina";"niacyna";" B6";"foliany";" B12";"C";"C 4:0";"C 6:0";"C 8:0";"C 10:0";"C 12:0";"C 14:0";"C 15:0";"C 16:0";"C 17:0";"C 18:0";"C 20:0";"ogółem";"C 14:1";"C 15:1";"C 16:1";"C 17:1";"C 18:1";"C 20:1";"C 22:1";"ogółem";"C 18:2";"C 18:3";"C 18:4";"C 20:3";"C 20:4";"C 20:5";"C 22:5";"C 22:6";"ogółem";;"izoleucyna";"leucyna";"lizyna";"metionina";"cystyna";"fenylo-alanina";"tyrozyna";"treonina";"tryptofan";"walina";"arginina";"histydyna";"alanina";"kwas asparaginowy";"kwas glutaminowy";"glicyna";"prolina";"seryna";"sacharoza";"laktoza";"skrobia";"błonnik pokarmowy";"białka";"tłuszczu";"węglo-wodanów"
;;;"g";"KJ";"kcal";"g";"g";"g";"g";"g";"g";"g";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mcg";"mcg";"mcg";"mcg";"mg";"mg";"mg";"mg";"mg";"mcg";"mcg";"mg";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"g";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"mg";"g";"g";"g";"g";;;
1;"1.1.1.001";"Mleko spożywcze 3,5 % tłuszczu";0;267;64;87,7;3,3;3,3;0,0;3,5;4,8;0,7;44;138;118;85;12;0,1;0,32;0,02;0,02;40;36;22;0,03;0,11;0,036;0,170;0,10;0,05;5;0,40;1,0;0,11;0,07;0,04;0,09;0,12;0,37;0,04;0,86;0,03;0,37;0,00;2,10;0,05;0,02;0,09;0,03;0,92;0,00;0,00;1,11;0,05;0,05;0,00;0,00;0,00;0,00;0,00;0,00;0,10;14;185;287;323;81;25;153;129;126;40;222;107;87;106;241;643;61;308;176;0,2;4,6;0,0;0,0;21;48;31
2;"1.1.1.002";"Mleko spożywcze 3,2% tłuszczu";0;256;61;88,0;3,3;3,3;0,0;3,2;4,8;0,7;44;139;118;85;12;0,1;0,32;0,02;0,02;36;32;22;0,03;0,10;0,036;0,170;0,10;0,05;5;0,40;1,0;0,10;0,06;0,04;0,08;0,11;0,34;0,03;0,79;0,03;0,34;0,00;1,92;0,04;0,02;0,08;0,03;0,84;0,00;0,00;1,01;0,04;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,08;13;185;287;323;81;25;153;129;126;40;222;107;87;106;241;643;61;308;176;0,2;4,6;0,0;0,0;22;46;32
3;"1.1.1.003";"Mleko spożywcze 2% tłuszczu";0;215;51;89,0;3,4;3,4;0,0;2,0;4,9;0,7;45;141;120;86;12;0,1;0,32;0,02;0,02;25;23;12;0,02;0,07;0,037;0,170;0,10;0,05;5;0,40;1,0;0,06;0,04;0,02;0,05;0,07;0,21;0,02;0,49;0,02;0,21;0,00;1,19;0,03;0,01;0,05;0,02;0,52;0,00;0,00;0,63;0,03;0,03;0,00;0,00;0,00;0,00;0,00;0,00;0,06;8;190;296;333;83;26;158;133;130;41;228;111;89;110;248;662;62;317;181;0,2;4,7;0,0;0,0;27;34;39
4;"1.1.1.004";"Mleko spożywcze 1,5 % tłuszczu";0;198;47;89,4;3,4;3,4;0,0;1,5;5,0;0,7;45;141;120;97;12;0,1;0,37;0,01;0,02;20;18;10;0,01;0,05;0,037;0,170;0,10;0,05;5;0,40;1,0;0,06;0,03;0,02;0,04;0,05;0,15;0,00;0,43;0,00;0,17;0,01;0,96;0,00;0,00;0,03;0,00;0,32;0,00;0,00;0,35;0,03;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,04;5;190;296;333;83;26;158;133;130;41;228;111;89;110;248;662;62;317;181;0,2;4,8;0,0;0,0;29;28;43
5;"1.1.1.005";"Mleko spożywcze 0,5 % tłuszczu";0;165;39;90,3;3,5;3,5;0,0;0,5;5,1;0,6;45;141;121;97;12;0,1;0,40;0,01;0,01;15;13;10;0,00;0,01;0,037;0,170;0,10;0,05;5;0,40;1,0;0,02;0,01;0,01;0,01;0,02;0,05;0,00;0,14;0,00;0,06;0,00;0,32;0,00;0,00;0,01;0,00;0,11;0,00;0,00;0,12;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,01;2;196;304;343;86;27;163;137;134;42;235;114;92;113;256;681;64;326;186;0,2;4,9;0,0;0,0;36;11;53
6;"1.1.1.006";"Mleko kobiece";0;300;72;87,2;1,3;1,3;0,0;4,3;7,0;0,2;20;52;20;13;4;0,1;0,11;0,03;0,01;68;64;24;0,04;0,30;0,010;0,040;0,20;0,01;5;0,05;5,0;0,00;0,00;0,05;0,00;0,22;0,30;0,00;1,08;0,00;0,39;0,00;2,04;0,00;0,00;0,16;0,00;1,45;0,02;0,00;1,63;0,30;0,03;0,00;0,00;0,02;0,01;0,02;0,02;0,40;14;71;131;86;16;34;47;50;59;26;72;44;29;49;120;252;29;124;59;0,0;7,0;0,0;0,0;7;53;40
7;"1.1.1.007";"Mleko kozie";0;283;68;87,3;3,2;3,2;0,0;4,1;4,5;0,9;40;161;130;127;14;0,1;0,58;0,04;0,02;74;68;35;0,11;0,10;0,030;0,133;0,25;0,05;1;0,10;1,0;0,13;0,09;0,10;0,26;0,11;0,32;0,00;0,90;0,00;0,43;0,00;2,34;0,00;0,00;0,08;0,00;0,97;0,00;0,00;1,05;0,10;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,14;11;189;288;266;75;42;144;164;149;41;225;108;82;108;194;575;46;338;164;0,0;4,4;0,0;0,0;19;54;27
8;"1.1.1.008";"Mleko owcze";0;448;107;80,9;6,0;6,0;0,0;7,0;5,1;1,0;44;136;193;158;18;0,1;0,20;0,10;0,02;51;50;5;0,18;0,20;0,070;0,360;0,40;0,05;5;0,60;4,0;0,20;0,14;0,14;0,40;0,24;0,66;0,00;1,61;0,00;0,90;0,00;4,29;0,00;0,00;0,13;0,00;1,55;0,00;0,00;1,68;0,18;0,13;0,00;0,00;0,00;0,00;0,00;0,00;0,31;11;334;569;500;152;34;275;275;266;83;442;196;167;266;324;982;40;614;481;0,0;5,1;0,0;0,0;23;58;19
9;"1.1.1.009";"Mleko w proszku odtłuszczone";0;1507;360;4,0;35,7;35,7;0,0;0,8;51,2;8,3;480;1874;1404;1012;143;1,2;4,15;0,24;0,20;7;6;5;0,02;0,01;0,381;1,785;1,19;0,47;50;2,60;13,1;0,03;0,02;0,01;0,02;0,03;0,09;0,00;0,24;0,00;0,10;0,00;0,54;0,00;0,00;0,02;0,00;0,18;0,00;0,00;0,20;0,02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,02;20;1999;3106;3497;877;275;1659;1395;1363;433;2398;1162;940;1152;2610;6951;655;3328;1902;0,0;51,0;0,0;0,0;40;2;58
